Classification,x,density
BFB,18.095477,0.00039418
BFB,18.18593,0.00057537
BFB,18.276382,0.00080708
BFB,18.366834,0.0010879
BFB,18.457286,0.00140921
BFB,18.547739,0.00175417
BFB,18.638191,0.00209834
BFB,18.728643,0.00241208
BFB,18.819095,0.00266451
BFB,18.909548,0.00282848
BFB,19.0,0.00288534
Complex non-cyclic,1.0,0.76098096
Complex non-cyclic,1.090452,0.74722543
Complex non-cyclic,1.180905,0.70077933
Complex non-cyclic,1.271357,0.63028857
Complex non-cyclic,1.361809,0.54730781
Complex non-cyclic,1.452261,0.46359902
Complex non-cyclic,1.542714,0.3886414
Complex non-cyclic,1.633166,0.32802707
Complex non-cyclic,1.723618,0.28306651
Complex non-cyclic,1.81407,0.25152103
Complex non-cyclic,1.904523,0.22906521
Complex non-cyclic,1.994975,0.21094538
Complex non-cyclic,2.085427,0.19334859
Complex non-cyclic,2.175879,0.17417568
Complex non-cyclic,2.266332,0.15314305
Complex non-cyclic,2.356784,0.13134189
Complex non-cyclic,2.447236,0.11050922
Complex non-cyclic,2.537688,0.09228946
Complex non-cyclic,2.628141,0.07770378
Complex non-cyclic,2.718593,0.06693317
Complex non-cyclic,2.809045,0.05940426
Complex non-cyclic,2.899497,0.05408168
Complex non-cyclic,2.98995,0.04983304
Complex non-cyclic,3.080402,0.04574352
Complex non-cyclic,3.170854,0.04129959
Complex non-cyclic,3.261307,0.0364179
Complex non-cyclic,3.351759,0.03134551
Complex non-cyclic,3.442211,0.02648935
Complex non-cyclic,3.532663,0.0222405
Complex non-cyclic,3.623116,0.01884571
Complex non-cyclic,3.713568,0.0163529
Complex non-cyclic,3.80402,0.01462953
Complex non-cyclic,3.894472,0.01343193
Complex non-cyclic,3.984925,0.01249344
Complex non-cyclic,4.075377,0.01160145
Complex non-cyclic,4.165829,0.01064253
Complex non-cyclic,4.256281,0.00960893
Complex non-cyclic,4.346734,0.00857197
Complex non-cyclic,4.437186,0.00763664
Complex non-cyclic,4.527638,0.0068945
Complex non-cyclic,4.61809,0.00638942
Complex non-cyclic,4.708543,0.0061044
Complex non-cyclic,4.798995,0.00597024
Complex non-cyclic,4.889447,0.00589008
Complex non-cyclic,4.979899,0.00577024
Complex non-cyclic,5.070352,0.00554699
Complex non-cyclic,5.160804,0.00520152
Complex non-cyclic,5.251256,0.00475989
